smiles,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status
NC(=O)CCc1ccc(CCc2nc(CC(N)=O)cs2)cc1,-10.4532,-7.1074,3.3458,-0.537,xtb_success
CCCCN(CC)CCN1CCN(c2ccc(F)cc2)CC1,-9.3021,-6.2085,3.0936,-0.299,xtb_success
COCCc1ccc(CC[C@](C)(O)Cc2ccc(C)cc2)cc1,-10.3324,-5.9091,4.4233,-0.502,xtb_success
COc1ccc(OC2CN(C(=O)N(C)C3CCCCC3)C2)cc1,-10.0461,-6.2201,3.826,-0.579,xtb_success
COCc1cc(Cc2cc(Cc3cccc(C)c3)ccn2)ccn1,-10.0827,-6.8648,3.2179,-0.341,xtb_success
CCCc1cc(-c2cc(-c3cc(CC(N)=O)ccn3)ccn2)ccn1,-9.937,-7.6251,2.3119,-0.529,xtb_success
COc1ccc(CN(CC(N)=O)c2ccccc2Cl)cc1F,-9.6668,-6.4638,3.203,-0.534,xtb_success
COc1cc(CC(N)=O)cc(Cc2scc(C=O)c2C(C)(C)C)c1,-10.354,-7.9323,2.4217,-0.532,xtb_success
COCc1ccc(Cc2ccc(Cc3c(C)occc3=O)cc2)cc1,-10.39,-7.2394,3.1507,-0.535,xtb_success
COCCN(C)Cc1cccc(-c2nc3c(s2)CCCC3)c1OC,-9.6581,-7.4063,2.2517,-0.352,xtb_success
NC(=O)Cc1ccc(-c2ccc(Cc3ccccn3)c(CC(N)=O)c2)cc1,-10.2126,-6.944,3.2686,-0.553,xtb_success
CC(C)(C)c1cc(C(=O)N2CCN(CC[N+](C)(C)CC(N)=O)CC2)ccn1,-6.8009,-6.1219,0.679,-0.679,xtb_success
COCc1ccc(Cc2ccc(-c3ccccn3)cc2OC)cc1,-10.0211,-7.0914,2.9297,-0.352,xtb_success
C[C@](O)(Cc1ccc(-c2ccc(CC(N)=O)cc2)cc1)C(=O)[O-],-9.7717,-6.8251,2.9466,-0.533,xtb_success
CCCc1c(Cc2ccc(CCOC)c(OC)c2)cccc1OC,-10.1437,-5.9808,4.1629,-0.355,xtb_success
Cc1cccc(C(=O)N2CCN(C(=O)Nc3csc(=O)[nH]3)CC2)c1,-10.1603,-6.6732,3.487,-0.546,xtb_success
CC(C)(C)c1ccc(CCCc2nc(CC(N)=O)cs2)cc1,-10.3598,-7.0555,3.3043,-0.536,xtb_success
NC(=O)Cc1ccnc(Cc2ccc(Cc3ccccn3)cc2)c1,-10.01,-6.7861,3.2239,-0.528,xtb_success
NC(=O)CCc1ccc(Cc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,-10.3051,-6.1593,4.1458,-0.535,xtb_success
