smiles,PySCF_Gap_eV,PySCF_Dipole_Debye,R_global,PySCF_Energy_Eh,PySCF_HOMO_eV,PySCF_LUMO_eV,Calc_Method,pIC50,QED,SA,hERG_Prob,hERG_Risk,R0,R_total,R_ADMET,Gap_Median,Gap_MAD,Gap_RZ,Gap_HardFail,Gap_Penalty,R_gap,Dip_Median,Dip_MAD,Dip_P90,Dip_SoftThr,Dip_HardThr,Dipole_HardFail,Dip_Penalty,R_dip,Physical_HardFail,R_conf,R_phys,R_global2
COCc1ccc(Cc2ccc(Cc3c(C)occc3=O)cc2)cc1,5.17,4.604,10.667,-1077.2130050354651,-6.056,-0.886,B3LYP/6-31G*,7.603100000000008,0.6754316908258609,2.252049313099718,0.4049150897622513,False,8.715610914102967,8.991211429721975,0.838,5.212,0.45100000000000007,-0.06281374708910448,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.667
NC(=O)Cc1ccc(-c2ccc(Cc3ccccn3)c(CC(N)=O)c2)cc1,5.254,6.027,10.661,-1165.7073656152133,-6.075,-0.822,B3LYP/6-31G*,7.6014000000000035,0.677362430072587,2.2511165712286303,0.42,False,8.714969557913435,8.996864784827581,0.832,5.212,0.45100000000000007,0.06281374708910448,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.5237890200010432,0.4762109799989568,False,1.0,0.4762109799989568,5.076885257768878
NC(=O)Cc1ccnc(-c2ccc(CC(N)=O)cc2CC(F)(F)F)c1,5.586,2.087,10.66,-1271.6956390558994,-6.553,-0.967,B3LYP/6-31G*,7.567600000000004,0.8314161598402857,2.581786982782978,0.4166666666666667,False,8.72512938164185,8.993033065197448,0.833,5.212,0.45100000000000007,0.5593414621744098,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.66
CCCc1cc(CCC)c(O)c(-c2nc(OC)c(OC)s2)c1,4.172,1.361,10.652,-1340.2204390798922,-5.103,-0.932,B3LYP/6-31G*,7.584400000000009,0.8189624762607222,2.8882693849295062,0.3533333333333333,False,8.705054299637421,8.934324396637045,0.859,5.212,0.45100000000000007,-1.5553880231587844,False,0.02769401157939222,0.9723059884206078,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,0.9723059884206078,10.357003388656313
NC(=O)CCc1ccc(Cc2ccc(-c3ccccn3)cc2)cc1,5.035,3.638,10.65,-997.0164616663401,-5.998,-0.964,B3LYP/6-31G*,7.551800000000009,0.7525943704150915,1.8119213754185903,0.4366666666666666,False,8.744322145911422,8.999617051507185,0.825,5.212,0.45100000000000007,-0.26471507701836944,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.65
NC(=O)Cc1cc(CC(F)F)ccc1-c1cc(C(F)F)ccn1,4.831,3.57,10.643,-1202.2152732409565,-6.471,-1.64,B3LYP/6-31G*,7.565800000000008,0.8258621879401952,2.7603353773694383,0.3966666666666666,False,8.702697556233161,8.959842546159313,0.841,5.212,0.45100000000000007,-0.5698104200225922,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.643
COc1cc(CC(N)=O)cc(Cc2scc(C=O)c2C(C)(C)C)c1,4.736,4.321,10.643,-1416.4375549975662,-6.087,-1.351,B3LYP/6-31G*,7.593200000000007,0.814929409157827,2.8497771826882428,0.36,False,8.715686986310097,8.931264381461224,0.856,5.212,0.45100000000000007,-0.7118891336765205,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.643
Cc1ccc(-c2nc(C[C@H](O)CC(=O)OC(C)C)cs2)cc1,4.531,1.629,10.635,-1339.0693787179107,-5.71,-1.179,B3LYP/6-31G*,7.579200000000011,0.8294574648690655,2.707847865684931,0.4271027287319422,False,8.723078052837092,8.976321054511926,0.829,5.212,0.45100000000000007,-1.0184800420876272,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.635
NC(=O)Cc1ccc(CCc2ccc(CC3CCCCC3)cc2)cc1,5.973,3.654,10.631,-1023.9017329466772,-6.168,-0.195,B3LYP/6-31G*,7.588200000000008,0.7878849184855369,1.9075774743220588,0.4846793283787503,False,8.668984711810568,9.018671531651002,0.806,5.212,0.45100000000000007,1.138125274638303,False,0.0,1.0,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,1.0,10.631
COc1ccc(-c2ccc(F)c(F)c2)cc1C(=O)c1cncnc1,4.166,4.175,10.602,-1152.716369323208,-6.281,-2.115,B3LYP/6-31G*,7.576400000000011,0.6866749382174584,2.156930994035269,0.3943702290076336,False,8.704044369705214,8.917321734950528,0.842,5.212,0.45100000000000007,-1.5643614156000842,False,0.03218070780004212,0.9678192921999579,4.2735,1.0585,6.58,5.418749999999999,6.58,False,0.0,1.0,False,1.0,0.9678192921999579,10.260820135903954
