restart,step,smiles,pIC50,QED,SA,MW,LogP,LogP_Penalty,Reward,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status,gap_score,esp_score,R_DFT,R0,R_total,rank_R0,rank_total,delta_rank,dft_effect
52,5,NC(=O)CN(CCc1ccc(CC2(O)CCCCC2)cc1)C1CCCCC1,7.564500000000009,0.732771390643335,2.441445488465241,372.55300000000017,3.586800000000002,0.0,8.686741146475152,-9.5395,-5.7992,3.7403,-0.544,xtb_success,0.8200782542622913,0.76,0.8020547779836038,8.686741146475152,9.007563057668593,148,66,-82,physically_promoted
73,24,CC(C)S(=O)(=O)Cc1ccc(Cc2ccc(CS(=O)(=O)C(C)C)cc2)cc1,7.568800000000002,0.6637363754606935,2.1541888394898336,408.5850000000001,3.923800000000004,0.0,8.685249303781365,-10.6119,-6.5292,4.0828,-0.649,xtb_success,0.9001832007353523,0.585,0.8056282405147466,8.685249303781365,9.007500599987264,153,67,-86,physically_promoted
72,12,COCc1ccc(Cc2cc(CC(N)=O)cc(OC)c2)cc1-c1ccc(C)cc1,7.586300000000008,0.619668912281152,2.236914264860811,389.4950000000001,4.435620000000004,0.0,8.672443029654502,-10.2732,-6.4029,3.8703,-0.534,xtb_success,0.852546299316945,0.7766666666666666,0.8297824095218614,8.672443029654502,9.004355993463246,185,68,-117,physically_promoted
52,16,NC(=O)CCc1ccc(Cc2nc(CCC(N)=O)cs2)cc1,7.544000000000002,0.7726704365704022,2.219605739320752,317.414,1.5697,0.0,8.707038059179808,-10.5576,-7.1187,3.4389,-0.56,xtb_success,0.737396786367728,0.7333333333333333,0.7361777504574095,8.707038059179808,9.001509159362772,91,69,-22,physically_promoted
51,11,COCCc1ccc(Cc2ccc(Cc3ccccn3)cc2)cc1,7.56700000000001,0.6419992381307027,1.867940712982433,317.432,4.452100000000003,0.0,8.699887492366166,-9.9943,-6.6926,3.3016,-0.354,xtb_success,0.6972785407519899,0.8849999999999999,0.7535949785263929,8.699887492366166,9.001325483776723,108,70,-38,physically_promoted
73,31,CC(C)S(=O)(=O)Cc1ccc(Cc2ccc(S(=O)(=O)C(C)C)cc2)cc1,7.565300000000007,0.716543348646717,2.191440698254869,394.5580000000001,3.782700000000003,0.0,8.704427604497878,-10.7036,-7.0044,3.6992,-0.649,xtb_success,0.8093611226514912,0.585,0.7420527858560437,8.704427604497878,9.001248718840296,98,71,-27,physically_promoted
11,3,COc1ccc(/C=C\COCC(N)=O)cc1-c1ccc(F)c(F)c1,7.564100000000007,0.7918990009334,2.3227278671358285,333.334,3.155500000000001,0.0,8.727776713753123,-10.2435,-7.1157,3.1277,-0.537,xtb_success,0.645204207673315,0.7716666666666666,0.6831429453713205,8.727776713753123,9.00103389190165,51,72,21,neutral
46,11,COCc1ccc(Cc2ccc(Cc3ccccn3)cc2)cc1,7.598600000000007,0.6727136968814232,1.82097280464804,303.40500000000003,4.409600000000004,0.0,8.699270131106182,-10.0006,-6.6977,3.303,-0.352,xtb_success,0.6976929832921607,0.8799999999999999,0.7523850883045125,8.699270131106182,9.000224166427987,110,73,-37,physically_promoted
64,6,CC(C)(C)c1ccc(CCCc2nc(CC(N)=O)cs2)cc1,7.491800000000003,0.8842216082509399,2.1961069637441337,316.4699999999999,3.6437000000000017,0.0,8.711811030653436,-10.3598,-7.0555,3.3043,-0.536,xtb_success,0.6980777370774089,0.7733333333333333,0.7206544159541862,8.711811030653436,9.000072797035111,77,74,-3,neutral
46,18,COCCCCCc1ccc(Cc2cc(COC)ccn2)cc1,7.603600000000008,0.6166945785266962,2.0556233550633856,313.441,4.178000000000004,0.0,8.697817766859806,-10.0384,-6.7222,3.3162,-0.352,xtb_success,0.7015958135120838,0.8799999999999999,0.7551170694584586,8.697817766859806,8.99986459464319,114,75,-39,physically_promoted
88,7,NC(=O)CCc1ccc(Cc2ccc(-c3ccccn3)cc2)cc1,7.551800000000009,0.7525943704150915,1.8119213754185903,316.404,3.7573000000000025,0.0,8.744322145911422,-9.9836,-7.0653,2.9183,-0.538,xtb_success,0.5817675199848694,0.77,0.6382372639894085,8.744322145911422,8.999617051507185,36,76,40,neutral
92,18,COCc1ccc(Cc2cc(Cc3cc(OC)ccn3)ccn2)cc1,7.593900000000008,0.6588733890081826,2.217122469053354,334.419,3.813200000000003,0.0,8.701624447598764,-10.0518,-6.781,3.2707,-0.349,xtb_success,0.6881077697413259,0.8724999999999999,0.7434254388189281,8.701624447598764,8.998994623126336,104,77,-27,physically_promoted
39,1,O=C(Cc1ccccc1C(=O)NC1CCOCC1)OCc1c(F)cccc1F,7.523000000000005,0.7712101204236138,2.2630392754318933,389.398,3.159500000000002,0.0,8.682301132668623,-10.7566,-7.1192,3.6375,-0.533,xtb_success,0.7929058575337413,0.7783333333333333,0.7885341002736188,8.682301132668623,8.997714772778071,158,78,-80,physically_promoted
11,1,COc1ccc(CN(CC(N)=O)c2ccccc2Cl)cc1F,7.482400000000004,0.8892185296244719,2.102579599305294,322.76700000000005,2.9796000000000014,0.0,8.716751304881711,-9.6668,-6.4638,3.203,-0.534,xtb_success,0.667877086247202,0.7766666666666666,0.7005139603730414,8.716751304881711,8.996956889030928,67,79,12,neutral
57,22,NC(=O)Cc1ccc(-c2ccc(Cc3ccccn3)c(CC(N)=O)c2)cc1,7.6014000000000035,0.677362430072587,2.2511165712286303,359.42900000000014,2.3950000000000005,0.0,8.714969557913435,-10.2126,-6.944,3.2686,-0.553,xtb_success,0.6874829532648123,0.745,0.7047380672853686,8.714969557913435,8.996864784827581,71,80,9,neutral
62,11,COCCc1cc(CCc2ccc(C(C)(C)C)cc2)ccn1,7.597200000000011,0.7903971848215374,2.0667910991222413,297.442,4.353200000000004,0.0,8.688954340681924,-9.9337,-6.5416,3.3921,-0.35,xtb_success,0.723852380842175,0.8749999999999999,0.7691966665895223,8.688954340681924,8.996633007317733,140,81,-59,physically_promoted
15,5,COc1ccc(CC2CCC(N3CCN(C(=O)c4ccccc4)CC3)CC2)cc1,7.584900000000007,0.7624054347994099,1.9727876364533508,392.5430000000002,4.254500000000004,0.0,8.768823953754378,-9.2833,-6.6761,2.6072,-0.55,xtb_success,0.48885640643611705,0.75,0.5671994845052819,8.768823953754378,8.99570374755649,22,82,60,neutral
57,25,NC(=O)Cc1ccnc(Cc2ccc(Cc3ccccn3)cc2)c1,7.549600000000002,0.7597360671922387,2.165016100693314,317.392,2.686000000000001,0.0,8.711607015560046,-10.01,-6.7861,3.2239,-0.528,xtb_success,0.6741407235252558,0.7866666666666666,0.707898506467679,8.711607015560046,8.994766418147119,78,83,5,neutral
34,1,CNCc1ccc(C(=O)Nc2ccc3c(c2)CCCN3S(C)(=O)=O)cc1,7.577500000000006,0.8434154438341528,2.090560574816662,373.478,2.3705000000000007,0.0,8.790151664435417,-9.7527,-7.1696,2.5831,-0.652,xtb_success,0.48182432551631094,0.58,0.5112770278614176,8.790151664435417,8.994662475579984,9,84,75,neutral
7,14,NC(=O)Cc1ccnc(-c2ccc(CC(N)=O)cc2CC(F)(F)F)c1,7.567600000000004,0.8314161598402857,2.581786982782978,351.328,1.909,0.0,8.72512938164185,-10.2647,-7.2167,3.048,-0.53,xtb_success,0.6210845841271403,0.7833333333333333,0.6697592088889981,8.72512938164185,8.993033065197448,53,85,32,neutral
86,15,NC(=O)Cc1ccc(-c2ccc(-c3cc(CC(N)=O)ccn3)cc2)cc1,7.591400000000004,0.7176399343041158,2.045399967634138,345.402,2.4712000000000005,0.0,8.745679970388647,-10.0275,-7.2214,2.8061,-0.533,xtb_success,0.5479070346361369,0.7783333333333333,0.6170349242452957,8.745679970388647,8.992493940086765,35,86,51,neutral
31,12,Cc1ccc(-c2cc(CCS(C)(=O)=O)cc(CCS(C)(=O)=O)c2O)cc1,7.555100000000006,0.776900258919649,2.45834113781531,396.53000000000014,2.5418200000000004,0.0,8.6977160156783,-10.2277,-6.5496,3.6782,-0.655,xtb_success,0.8038083531065063,0.575,0.7351658471745544,8.6977160156783,8.991782354548121,115,87,-28,physically_promoted
25,9,COCc1ccc(Cc2ccc(Cc3c(C)occc3=O)cc2)cc1,7.603100000000008,0.6754316908258609,2.252049313099718,334.415,4.276220000000003,0.0,8.715610914102967,-10.39,-7.2394,3.1507,-0.535,xtb_success,0.6521446986393159,0.775,0.689001289047521,8.715610914102967,8.991211429721975,69,88,19,neutral
35,28,COCc1ccc(Cc2ccc(Cc3nc(OC)cs3)cc2)cc1,7.603900000000009,0.635861344818333,2.2159323644295785,339.46,4.479700000000004,0.0,8.700237435966217,-10.2836,-7.1126,3.171,-0.352,xtb_success,0.6582601079050703,0.8799999999999999,0.7247820755335491,8.700237435966217,8.990150266179636,107,89,-18,physically_promoted
2,2,NC(=O)Cc1ccc(C(=O)N2CCN(Cc3csc(=O)[nH]3)CC2)cc1,7.560100000000003,0.8071796052867762,2.444957845060717,360.4390000000001,0.4222000000000004,0.0,8.719194018137319,-9.7417,-6.6482,3.0935,-0.546,xtb_success,0.6348650760992983,0.7566666666666666,0.6714055532695088,8.719194018137319,8.987756239445122,60,90,30,neutral
